street_key,avg_price,transaction_count,std_dev,min_price,max_price,district,district_median,undervalued
ADELAIDE STREET | TR18 2ER,222000.0,5,12673.791855636578,200000,232500,TR18,291937.5,True
ADELINE STREET | DN14 6DJ,90500.0,4,8962.886439832502,82000,102000,DN14,200000.0,True
ADELPHI ROAD | KT17 1JB,313333.3333333333,3,127115.43310445563,175000,425000,KT17,404625.0,True
ADELPHI STREET | M3 6GG,146833.33333333334,3,33167.50417703046,125000,185000,M3,224333.33333333334,True
ADELPHI STREET | M3 6JN,139333.33333333334,3,15143.755588800726,122000,150000,M3,224333.33333333334,True
ADENMORE ROAD | SE6 4BL,329875.0,4,42407.497371730555,275000,375000,SE6,526666.6666666667,True
ADENMORE ROAD | SE6 4FA,391855.55555555556,9,71469.48843931778,290000,470000,SE6,526666.6666666667,True
ADENMORE ROAD | SE6 4FE,306000.0,3,46776.062254106,278000,360000,SE6,526666.6666666667,True
ADLINGTON ROAD | CW2 8PD,109000.0,3,27404.379212089443,88000,140000,CW2,203666.66666666666,True
ADMERS CRESCENT | GU30 7HP,293000.0,3,157819.5171707226,194000,475000,GU30,511666.6666666667,True
ADMIRAL WALK | LN2 4RZ,171483.33333333334,3,15307.705031562811,157000,187500,LN2,220737.5,True
ADMIRALS WAY | DA12 2AW,200666.66666666666,3,1154.7005383792493,200000,202000,DA12,302333.3333333334,True
ADMIRALTY ROAD | NR30 3DQ,127675.0,4,15828.955535136656,112700,150000,NR30,183354.1666666667,True
ADRIAN CLOSE | HP1 1AW,260875.0,4,36488.29721065828,210000,292500,HP1,433750.0,True
ADSWOOD ROAD | SK8 5QA,224000.0,3,127859.29766739688,82000,330000,SK8,340000.0,True
ADUR VALLEY COURT | BN44 3JN,151357.14285714287,7,17343.86127162933,125500,167500,BN44,459875.0,True
ADVENT WAY | M4 7LS,169666.66666666666,3,66229.39931279261,112000,242000,M4,243333.33333333334,True
ADWOOD COURT | RG19 4ES,182750.0,4,21453.437952924935,160000,211000,RG19,331666.6666666667,True
AFFLINGTON ROAD | PL9 7GH,167500.0,5,71019.36355670895,90000,227500,PL9,275000.0,True
AFON WAY | SY16 2JG,120000.0,3,11789.826122551596,107000,130000,SY16,233083.3333333333,True
AGAR GROVE | NW1 9UE,508750.0,4,196049.52605570527,392500,800000,NW1,689125.0,True
AGAR ROAD | SR3 3DL,110666.66666666667,3,17925.772879665,90000,122000,SR3,249394.10714285716,True
AGINCOURT | NE31 1AN,125625.0,4,38964.46030252013,75000,170000,NE31,157600.0,True
