postcode,street_key,avg_price,transaction_count,std_dev,min_price,max_price,district,district_median,undervalued,Postcode,Latitude,Longitude,District,% Difference
L8 5TA,ACORN COURT | L8 5TA,95875.0,4.0,7284.401141999999,90000.0,105000.0,L8,138416.0,True,L8 5TA,53.391475,-2.969138,Liverpool,30.734163680499364
PL7 4NJ,ACORN GARDENS | PL7 4NJ,135833.0,3.0,69159.83902,56000.0,177500.0,PL7,257583.0,True,PL7 4NJ,50.392519,-4.059917,Plymouth,47.266318041175076
ME18 6DQ,ACOTT FIELDS | ME18 6DQ,260000.0,3.0,148462.11638,164000.0,431000.0,ME18,333641.0,True,ME18 6DQ,51.223888,0.428413,Maidstone,22.071927610815216
BD2 2EH,ACRE LANE | BD2 2EH,129250.0,4.0,52366.496923,76000.0,180000.0,BD2,173500.0,True,BD2 2EH,53.818706,-1.73049,Bradford,25.504322766570603
SW2 5TX,ACRE LANE | SW2 5TX,321000.0,4.0,15556.349186,310000.0,343000.0,SW2,520291.0,True,SW2 5TX,51.459547,-0.126473,Lambeth,38.303756936022346
M34 2AE,ACRE STREET | M34 2AE,165000.0,3.0,5000.0,160000.0,170000.0,M34,223666.0,True,M34 2AE,53.455495,-2.117439,Tameside,26.229288313825077
DT9 3NZ,ACREMAN STREET | DT9 3NZ,128250.0,4.0,8500.0,120000.0,140000.0,DT9,275489.0,True,DT9 3NZ,50.949107,-2.520404,Dorset,53.44641709832334
LL12 7YJ,ACTON HALL WALKS | LL12 7YJ,171490.0,5.0,37148.862701,120000.0,225000.0,LL12,330000.0,True,LL12 7YJ,53.06112,-2.982566,Wrexham,48.03333333333333
W4 5TH,ACTON LANE | W4 5TH,579100.0,3.0,18464.289859,565000.0,600000.0,W4,775066.0,True,W4 5TH,51.493408,-0.267059,Hounslow,25.2837822843474
M22 9AN,ACTONVILLE AVENUE | M22 9AN,132333.0,3.0,5773.502692,129000.0,139000.0,M22,224500.0,True,M22 9AN,53.382675,-2.257247,Manchester,41.0543429844098
TF10 8PY,ADAMS CROFT | TF10 8PY,133000.0,3.0,866.025404,132000.0,133500.0,TF10,230583.0,True,TF10 8PY,52.776461,-2.478934,Telford and Wrekin,42.320119002701844
WA4 1GL,ADAMSON CLOSE | WA4 1GL,173875.0,4.0,48460.250034,102500.0,210000.0,WA4,304987.0,True,WA4 1GL,53.382788,-2.550482,Warrington,42.98937331755124
DL4 2JN,ADAMSON STREET | DL4 2JN,53666.0,3.0,28041.059187,36000.0,85999.0,DL4,67499.0,True,DL4 2JN,54.623359,-1.642516,County Durham,20.493636942769523
MK44 3HR,ADDINGTONS ROAD | MK44 3HR,298000.0,3.0,12124.355653,285000.0,309000.0,MK44,418700.0,True,MK44 3HR,52.156945,-0.346977,Bedford,28.827322665392884
CR0 5BX,ADDISCOMBE GROVE | CR0 5BX,214849.0,20.0,16106.060487,199999.0,246000.0,CR0,357000.0,True,CR0 5BX,51.374459,-0.090295,Croydon,39.818207282913164
CR0 5BY,ADDISCOMBE GROVE | CR0 5BY,232199.0,10.0,16040.45026,199999.0,256000.0,CR0,357000.0,True,CR0 5BY,51.374459,-0.090295,Croydon,34.95826330532213
CR0 6AW,ADDISCOMBE ROAD | CR0 6AW,271500.0,4.0,93909.530933,150000.0,350000.0,CR0,357000.0,True,CR0 6AW,51.375821,-0.083396,Croydon,23.949579831932773
W14 0DP,ADDISON GARDENS | W14 0DP,600000.0,3.0,10000.0,590000.0,610000.0,W14,760000.0,True,W14 0DP,51.50139,-0.217004,Hammersmith and Fulham,21.052631578947366
TN2 3GG,ADDISON ROAD | TN2 3GG,229600.0,5.0,39970.926934,185000.0,267500.0,TN2,309833.0,True,TN2 3GG,51.145998,0.275778,Tunbridge Wells,25.895563093666592
SE4 1LF,ADELAIDE AVENUE | SE4 1LF,497333.0,3.0,259222.555603,250000.0,767000.0,SE4,634250.0,True,SE4 1LF,51.459482,-0.030373,Lewisham,21.587229010642492
KT6 4SU,ADELAIDE ROAD | KT6 4SU,312500.0,3.0,106154.368728,190000.0,377500.0,KT6,491600.0,True,KT6 4SU,51.396019,-0.302123,Kingston upon Thames,36.43205858421481
KT6 4TE,ADELAIDE ROAD | KT6 4TE,390000.0,3.0,10000.0,380000.0,400000.0,KT6,491600.0,True,KT6 4TE,51.396816,-0.301921,Kingston upon Thames,20.667209113100082
TR18 2ER,ADELAIDE STREET | TR18 2ER,222000.0,5.0,12673.791856,200000.0,232500.0,TR18,291937.0,True,TR18 2ER,50.121465,-5.535516,Cornwall,23.956196028595212
DN14 6DJ,ADELINE STREET | DN14 6DJ,90500.0,4.0,8962.88644,82000.0,102000.0,DN14,200000.0,True,DN14 6DJ,53.708069,-0.876265,East Riding of Yorkshire,54.75
KT17 1JB,ADELPHI ROAD | KT17 1JB,313333.0,3.0,127115.433104,175000.0,425000.0,KT17,404625.0,True,KT17 1JB,51.334955,-0.265631,Epsom and Ewell,22.562125424776028
M3 6GG,ADELPHI STREET | M3 6GG,146833.0,3.0,33167.504177,125000.0,185000.0,M3,224333.0,True,M3 6GG,53.485889,-2.265043,Salford,34.546856681807846
M3 6JN,ADELPHI STREET | M3 6JN,139333.0,3.0,15143.755589,122000.0,150000.0,M3,224333.0,True,M3 6JN,53.486464,-2.265061,Salford,37.890100876821506
SE6 4BL,ADENMORE ROAD | SE6 4BL,329875.0,4.0,42407.497372,275000.0,375000.0,SE6,526666.0,True,SE6 4BL,51.446049,-0.025152,Lewisham,37.36542704484436
SE6 4FA,ADENMORE ROAD | SE6 4FA,391855.0,9.0,71469.488439,290000.0,470000.0,SE6,526666.0,True,SE6 4FA,51.449717,-0.025069,Lewisham,25.59705771779458
SE6 4FE,ADENMORE ROAD | SE6 4FE,306000.0,3.0,46776.062254,278000.0,360000.0,SE6,526666.0,True,SE6 4FE,51.444637,-0.025647,Lewisham,41.89866063121599
CW2 8PD,ADLINGTON ROAD | CW2 8PD,109000.0,3.0,27404.379212,88000.0,140000.0,CW2,203666.0,True,CW2 8PD,53.091319,-2.469286,Cheshire East,46.48100321113981
GU30 7HP,ADMERS CRESCENT | GU30 7HP,293000.0,3.0,157819.517171,194000.0,475000.0,GU30,511666.0,True,GU30 7HP,51.068998,-0.800559,East Hampshire,42.73608174082312
LN2 4RZ,ADMIRAL WALK | LN2 4RZ,171483.0,3.0,15307.705032,157000.0,187500.0,LN2,220737.0,True,LN2 4RZ,53.237262,-0.520467,Lincoln,22.313431821579528
DA12 2AW,ADMIRALS WAY | DA12 2AW,200666.0,3.0,1154.700538,200000.0,202000.0,DA12,302333.0,True,DA12 2AW,51.442201,0.383524,Gravesham,33.62749021774004
NR30 3DQ,ADMIRALTY ROAD | NR30 3DQ,127675.0,4.0,15828.955535,112700.0,150000.0,NR30,183354.0,True,NR30 3DQ,52.595487,1.730417,Great Yarmouth,30.366940453985187
HP1 1AW,ADRIAN CLOSE | HP1 1AW,260875.0,4.0,36488.297211,210000.0,292500.0,HP1,433750.0,True,HP1 1AW,51.751564,-0.485171,Dacorum,39.85590778097983
SK8 5QA,ADSWOOD ROAD | SK8 5QA,224000.0,3.0,127859.297667,82000.0,330000.0,SK8,340000.0,True,SK8 5QA,53.386979,-2.178653,Stockport,34.11764705882353
